team,games,wins,losses,super_elo,mov_elo,off_efg_elo,off_tov_elo,off_orb_elo,off_ftr_elo,def_efg_elo,def_tov_elo,def_orb_elo,def_ftr_elo,rank
Xavier,34,22,12,1745.637505829216,1745.6375058292151,1658.867657126602,1593.5923761618392,1383.1975275705493,1602.6096504814452,1545.9503719472177,1544.909197120712,1678.5698384698649,1571.6185706736715,40
VCU,34,27,7,1740.5350282169404,1740.5350282169395,1552.931306838108,1525.7642414288036,1692.6433524882432,1501.1647806132332,1695.2000587560167,1649.3960888782212,1454.204109384076,1434.5345927223743,41
West Virginia,32,19,13,1735.5527553223096,1735.5527553223087,1546.61651047248,1621.1879545283136,1448.9434863836543,1382.221504192586,1692.8769331923957,1636.8100808345323,1577.323638973994,1514.4950484671792,42
Oklahoma,34,20,14,1734.6278196945166,1734.6278196945157,1680.0592833725836,1536.703947007937,1445.0171771780285,1651.0238301629506,1568.2774298059098,1583.4325705714232,1542.5411950241032,1519.6295439877806,43
Vanderbilt,33,20,13,1734.2458426779745,1734.2458426779735,1586.740512060026,1663.9120405343176,1584.238337704055,1521.2994695846196,1500.9502779633979,1666.6708646290128,1559.6347118533429,1470.517574880108,44
UC San Diego,33,28,5,1733.8297752615226,1733.8297752615217,1622.9071866950521,1658.4672999395411,1396.0812006646509,1487.81459183496,1575.1089177353447,1717.031043675818,1566.301422785325,1566.5171821879662,45
Cincinnati,35,19,16,1730.573271180534,1730.573271180533,1551.9564449653496,1632.2078827275582,1627.3133635790102,1328.7512952863487,1612.3466654117628,1657.7894193526668,1563.172431187957,1645.4713737051102,46
Indiana,32,19,13,1727.7764978622495,1727.7764978622486,1589.2178982665573,1569.0774144919299,1575.3320112221927,1541.9650899200324,1623.1550194697918,1517.3316892208948,1579.7050603205032,1608.9671577761417,47
Boise St.,36,25,11,1726.5433644453153,1726.5433644453144,1589.6802419593057,1566.4939187145765,1612.606859151262,1596.4076048771767,1540.7697541561056,1476.5920977686967,1714.6170630184822,1543.0071714575884,48
SMU,35,24,11,1725.6651963729669,1725.665196372966,1626.747831910063,1506.5549103042167,1703.361486163146,1576.3295179322697,1611.3705189018385,1548.1430136661502,1521.905477003955,1525.039090431599,49
Colorado St.,36,26,10,1725.0174974570396,1725.0174974570386,1674.2807394800961,1547.1630955846313,1461.3761440684648,1469.5158585134773,1604.7292975334367,1488.6952103749695,1633.993585260718,1540.7378171728355,50
Northwestern,33,17,16,1724.9983823755972,1724.9983823755963,1541.3392322474244,1625.0658337511004,1568.6249589504507,1537.3472494169803,1609.7947320892451,1691.4263452533019,1498.3380577942053,1465.8927715517686,51
Nebraska,35,21,14,1722.8503592442278,1722.8503592442269,1604.8346483057846,1571.6105692571618,1461.5002729810556,1591.6293706645479,1591.8862836694186,1575.5332387988078,1568.1351406582592,1656.0897638121928,52
Utah St.,33,25,8,1718.6687004341154,1718.6687004341145,1658.2101140700454,1594.8248413827678,1659.0411291528176,1581.4214767894694,1494.1551325782991,1665.5481096886228,1459.6635192519886,1472.521668699598,53
Penn St.,31,16,15,1716.1451056780124,1716.1451056780115,1636.827432721708,1506.3192692351795,1478.022886865513,1658.5389110748142,1526.183991931461,1657.3525745167176,1512.812334801264,1579.6613624473125,54
Santa Clara,34,21,13,1712.2357516286133,1712.2357516286124,1676.3863945600071,1474.6025623376406,1609.4252918762454,1430.1227711148633,1571.7350887644418,1481.929428370043,1613.3845155332585,1531.2023574948423,55
Villanova,36,21,15,1709.1467418909453,1709.1467418909444,1657.3581998209436,1592.1717206415824,1549.8625984691125,1462.7272323895916,1540.5659593206517,1455.7285236789285,1589.9075064493227,1538.595662780086,56
Pittsburgh,32,17,15,1708.7911633288861,1708.7911633288852,1583.572674062029,1612.3013164714719,1526.9479700439,1555.2168479391432,1540.3236767984833,1585.294153089552,1535.8740349977961,1523.2122223619642,57
Memphis,35,29,6,1702.4961049385795,1702.4961049385786,1615.634547453486,1396.5691889078053,1649.8644976212884,1619.5713898859985,1588.5258631344457,1654.492719838316,1450.6115073728301,1539.8094175985725,58
San Diego St.,30,20,10,1700.7541837587391,1700.7541837587382,1528.280176083531,1550.6544217950725,1529.9072677668737,1508.187154232594,1697.0906761222093,1650.1684576833225,1498.5854276884168,1436.833392175389,59
USC,35,17,18,1699.6403028699244,1699.6403028699235,1681.686883391673,1521.697949773578,1478.445380444749,1585.9738559045468,1541.602321281907,1589.0603883781769,1531.8379265708984,1508.3167966982355,60
Iowa,33,17,16,1698.6829725236485,1698.6829725236475,1727.35510343574,1711.6726175291396,1392.916081439288,1409.105732642039,1464.3707368817602,1569.3848057539192,1459.6567244970047,1633.48346696259,61
McNeese St.,33,26,7,1676.365359403587,1676.3653594035861,1555.8255789514023,1582.547310890676,1628.6697207983846,1524.2623640232305,1583.8165397271666,1693.523322742431,1489.0309806523035,1482.0971574066266,62
Utah,33,16,17,1675.187370115333,1675.187370115332,1564.0365295344009,1511.8533187593919,1665.988988736705,1591.5190158696357,1599.4848890307526,1455.3888237670512,1603.9351019743624,1481.2203526486894,63
Kansas St.,33,16,17,1671.3794248897323,1671.3794248897314,1556.0554641319222,1551.942321494949,1535.0609560931114,1430.1932828741838,1611.929409438282,1560.971107330058,1521.64837536167,1593.792307556202,64
Drake,33,29,4,1664.3140136075829,1664.314013607582,1591.0075866183208,1425.5188809186923,1668.0419004951782,1661.103758370015,1536.5983017649282,1709.7641998217305,1582.4254364869028,1439.1167991633902,65
Arizona St.,33,13,20,1664.14752793938,1664.1475279393792,1602.458023258272,1538.4290477847485,1452.2001553695857,1579.5903133898319,1589.557713387956,1496.243689521738,1592.9467123540378,1529.943517847444,66
San Francisco,34,24,10,1661.7815609756335,1661.7815609756326,1586.8715820490536,1494.8387713581362,1494.8847865346895,1531.799913413393,1625.1702784020572,1494.1358304381527,1567.9172665879505,1438.769146273929,67
Rutgers,32,15,17,1660.4414837697468,1660.441483769746,1577.513426942003,1633.9775751623797,1559.4827605271992,1588.104015948005,1517.8476684082257,1542.7667354662497,1474.367988049084,1591.5235468286255,68
TCU,32,16,16,1658.9362559216643,1658.9362559216634,1455.3443272578302,1535.4177195462078,1659.481327841962,1518.5799043881439,1576.270917918434,1657.0367465496413,1564.3472196988885,1576.4854206594378,69
UCF,37,20,17,1658.751724514691,1658.75172451469,1545.2491452604909,1585.590898535879,1632.38262228989,1582.7255986628657,1558.0352196884223,1556.4608989230087,1463.6999311180023,1541.5820016118391,70
Butler,35,15,20,1651.0313958428337,1651.0313958428328,1653.3407664014796,1593.7197742815881,1450.8680938170871,1581.9044668653885,1579.8898052082438,1261.734392680211,1593.3715857876214,1686.073196184976,71
South Carolina,32,12,20,1650.472172255114,1650.472172255113,1516.9733763967472,1487.9271860314566,1557.7270686943743,1695.9932285895588,1563.2290527222185,1474.161896331395,1648.3382194995963,1590.5816882600932,72
LSU,32,14,18,1650.0051156302227,1650.0051156302218,1560.9973835625174,1468.40623376535,1516.5586956473924,1515.1508831358076,1627.1284968617922,1520.699286379335,1443.024332793928,1615.9225288862674,73
UC Irvine,38,31,7,1649.9418542276144,1649.9418542276135,1518.1925297561036,1445.9566258154914,1481.6783987322015,1532.469423480127,1664.3894990015197,1464.4816326449854,1604.2041998774384,1687.1447983754285,74
Wake Forest,32,21,11,1647.5602144112472,1647.5602144112463,1506.5130033784865,1525.8901624922376,1465.1928181979936,1589.8992594317165,1650.3698992639083,1646.4482616238743,1497.1560429783615,1544.342950111877,75
Nevada,33,17,16,1644.384248611364,1644.384248611363,1613.7588805963192,1608.415878293425,1452.0179098757128,1585.0646322978096,1517.2132895134714,1579.6066994017401,1595.755888486359,1426.483527670137,76
