Rk,Team,Conf,Adj. Eff._Off.,Adj. Eff._Def.,Eff. FG%_Off.,Eff. FG%_Def.,Turnover%_Off.,Turnover%_Def.,Off. Reb%_Off.,Off. Reb%_Def.,FT Rate_Off.,FT Rate_Def.,FT%_Off.,FT%_Def.,2P%_Off.,2P%_Def.,3P%_Off.,3P%_Def.
347,Pepperdine,WCC,99.4,109.9,43.7,52.4,17.7,16.7,29.6,31.9,36.5,26.6,82.5,70.5,46.2,55.7,26.9,32.3
348,Bryant,AE,97.5,108.8,43.6,49.7,20.7,14.2,25.5,33.6,25.1,26.0,78.0,66.0,46.8,48.1,26.9,35.2
349,Saint Peter's,MAAC,99.9,112.3,43.5,54.8,17.0,22.1,32.6,37.8,30.6,55.1,81.4,70.9,43.3,52.4,29.1,38.9
350,VMI,SC,99.5,116.2,43.3,56.1,17.9,17.5,29.3,41.8,34.1,30.6,70.2,72.1,46.1,57.5,27.3,36.1
351,Arkansas Pine Bluff,SWAC,98.3,114.4,43.1,57.1,19.8,15.3,27.6,37.1,30.5,43.6,76.2,75.3,43.5,57.5,28.3,37.8
352,UTEP,CUSA,100.8,106.6,43.0,54.0,19.4,23.1,23.0,42.6,27.5,44.8,65.6,69.5,42.3,55.6,29.4,34.2
353,Prairie View A&M,SWAC,99.5,113.1,42.7,57.2,15.7,21.1,24.7,36.9,39.0,50.0,75.7,71.3,42.4,56.4,28.9,38.9
354,Jackson St.,SWAC,100.8,109.7,42.6,56.9,20.8,14.5,23.0,43.1,25.3,41.1,74.8,69.0,40.7,61.9,30.0,33.9
355,South Carolina St.,MEAC,95.7,113.7,42.5,56.5,20.9,17.3,31.8,40.6,38.5,46.9,66.0,72.8,40.7,61.2,30.7,33.2
356,UTSA,Amer,101.8,110.1,42.3,47.5,15.4,16.4,31.3,36.1,35.0,38.5,66.7,69.3,42.6,45.9,27.9,33.3
357,Coppin St.,MEAC,93.1,117.0,42.1,56.5,22.5,15.8,28.3,37.7,36.3,39.8,71.0,75.5,41.9,57.1,28.4,37.1
358,Sacramento St.,BSky,103.2,111.7,42.1,54.4,18.0,17.2,31.0,34.6,41.0,37.6,76.0,70.2,42.4,59.1,27.7,32.3
359,Tennessee St.,OVC,101.7,109.1,42.0,54.8,19.5,19.9,35.3,29.4,34.4,51.2,75.6,74.6,42.9,59.3,26.9,31.4
360,New Hampshire,AE,96.4,111.7,41.7,53.0,18.5,15.4,23.5,31.6,19.0,38.9,74.7,71.6,42.9,55.2,26.5,32.9
361,Texas A&M Corpus Chris,Slnd,99.7,105.6,40.0,53.4,16.6,17.1,25.8,29.5,34.1,48.9,64.2,74.6,39.4,54.0,27.6,34.9
362,Delaware St.,MEAC,92.9,111.5,39.2,58.9,18.8,19.1,24.3,26.1,25.9,35.0,67.8,66.7,38.2,60.5,27.8,37.5
363,Georgia St.,SB,94.2,109.6,38.9,52.1,19.0,18.0,26.2,35.2,33.3,37.0,76.4,70.0,39.9,52.9,25.1,33.8
364,North Carolina Central,MEAC,95.6,114.0,37.8,56.1,17.8,17.2,27.2,39.0,40.5,50.1,76.1,69.3,34.6,56.8,29.5,36.9
365,Rider,MAAC,98.8,112.9,37.3,55.0,22.6,12.3,36.1,35.7,35.7,36.8,75.4,62.0,37.0,55.7,25.3,35.9
