id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,dominance,is_excluded,home_excluded,away_excluded,home_elo,away_elo,game_rating_home,game_rating_away,home_waa,away_waa,game_rating_home_scaled,game_rating_away_scaled
401762791,2025,1,regular,2025-08-29 01:00:00+00:00,False,True,False,False,,347.0,Camp Randall Stadium,275,Wisconsin,fbs,Big Ten,17.0,"[3, 0, 7, 7]",1.0,1536.0,1573.0,193,Miami (OH),fbs,Mid-American,0.0,"[0, 0, 0, 0]",0.0,1528.0,1491.0,3.94006770879842,,,0.9537434717784532,False,False,False,1967.2912336275115,1664.473230176336,2234.12303178009,1397.6414320237575,0.6183738954350851,-0.04093094686239505,59.51591389496712,23.97146436636972
401752796,2025,1,regular,2025-08-29 01:00:00+00:00,False,True,True,False,,3622.0,GEHA Field at Arrowhead Stadium,2132,Cincinnati,fbs,Big 12,17.0,"[3, 0, 7, 7]",0.6352569460868835,1475.0,1477.0,158,Nebraska,fbs,Big Ten,20.0,"[0, 13, 0, 7]",0.3647430539131164,1524.0,1522.0,6.207148038057158,,,0.8931154037744606,False,False,False,2064.3869152011926,2068.0123651382414,1568.7075778265807,2563.691702512853,-0.03662392969564266,0.9626325671836817,31.24054474699181,73.52021116400452
401760357,2025,1,regular,2025-08-29 02:00:00+00:00,False,True,False,False,,7311.0,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,42.0,"[14, 6, 8, 14]",0.9745745062828064,1318.0,1318.0,2619,Stony Brook,fcs,CAA,0.0,"[0, 0, 0, 0]",0.0254254937171936,,,3.150955628954011,,,0.9942175827381569,True,True,False,1995.4198631824813,1110.1190409406847,2044.5562855652815,1060.9826185578809,0.06247556547796351,-0.03502642092595618,51.460691108123406,9.665887044548004
401767140,2025,1,regular,2025-08-29 22:00:00+00:00,False,True,False,True,,3824.0,Meade Stadium,227,Rhode Island,fcs,CAA,31.0,"[7, 7, 3, 14]",0.8288765549659729,,,2097,Campbell,fcs,CAA,20.0,"[7, 10, 3, 0]",0.1711234450340271,,,6.360519529223957,,,0.914462364689025,False,False,False,1418.475205620265,691.9950320313914,1151.322868461495,959.1473691901613,0.00596785150542245,-0.5012905867597903,13.504697669952419,5.338621648109572
401762432,2025,1,regular,2025-08-29 22:00:00+00:00,False,True,False,False,,3841.0,Michie Stadium,349,Army,fbs,American Athletic,27.0,"[7, 10, 7, 0, 3]",0.6962294578552246,1607.0,1607.0,2627,Tarleton State,fcs,UAC,30.0,"[3, 7, 7, 7, 6]",0.3037705421447754,,,6.9127413278628165,,,0.8846022036160542,False,False,False,1911.3949619191696,1944.6929528270125,1378.856080410454,2477.2318343357283,-0.1095128939160669,0.9443971248079882,23.173222082868776,69.846288842741
401779329,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,36.0,Leonidoff Field,2368,Marist,fcs,Pioneer,31.0,"[17, 0, 7, 7]",0.967249035835266,,,2441,New Haven,fcs,NEC,14.0,"[0, 7, 0, 7]",0.0327509641647338,,,4.075129061217536,,,0.9529168740281948,False,False,False,819.1793269802561,567.5375004323829,1134.0368871164533,252.6799402961857,0.0029241654376256365,-0.9693795086921396,12.770167834926644,1.0
401767256,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,3617.0,Andy Kerr Stadium,2142,Colgate,fcs,Patriot,39.0,"[14, 10, 7, 8]",0.3739823698997497,,,2405,Monmouth,fcs,CAA,42.0,"[0, 7, 14, 21]",0.6260176301002502,,,6.352487419957231,,,0.8914377148752226,False,False,False,966.4034819788168,1302.6207076229464,725.5474794371454,1543.476710164618,-0.8320657070265867,0.06865752106939171,1.0,30.16841440672539
401761589,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,True,False,,3628.0,Bank of America Stadium,2429,Charlotte,fbs,American Athletic,11.0,"[3, 0, 0, 8]",0.0426952205598354,1254.0,1221.0,2026,App State,fbs,Sun Belt,34.0,"[0, 17, 10, 7]",0.9573047794401646,1428.0,1461.0,3.6672300484451488,,Duke’s Mayo Classic,0.9694219014134611,False,False,False,1269.4424429281569,1463.2633710787645,739.6920563773125,1993.0137576296088,-0.5526721098743582,0.20962356043244512,1.0,49.27050451786306
401752802,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,3936.0,Spartan Stadium,127,Michigan State,fbs,Big Ten,23.0,"[7, 14, 2, 0]",1.0,1368.0,1403.0,2711,Western Michigan,fbs,Mid-American,6.0,"[0, 0, 0, 6]",0.0,1345.0,1310.0,3.766135497319688,,,0.9547809793003368,False,False,False,1844.4045249924623,1872.716014381767,2446.398794273872,1270.7217451003576,0.8430890003105911,-0.07968138796641881,68.53610648294837,18.57829085562147
401766898,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,2031.0,Pitbull Stadium,2229,Florida International,fbs,Conference USA,42.0,"[7, 21, 7, 7]",0.952778697013855,1372.0,1372.0,2065,Bethune-Cookman,fcs,SWAC,9.0,"[3, 3, 0, 3]",0.047221302986145,,,3.5516503900016345,,,0.9858702592712865,False,False,False,1639.2015302263524,906.8966687454644,1685.3953394435264,860.7028595282902,0.02026653999600958,-0.22003876177103002,36.19893505062398,1.1554382928950633
401754374,2025,1,regular,2025-08-29 23:00:00+00:00,False,True,False,False,,3630.0,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,10.0,"[7, 0, 3, 0]",0.7367027401924133,1397.0,1394.0,338,Kennesaw State,fbs,Conference USA,9.0,"[6, 0, 3, 0]",0.2632972598075866,1266.0,1269.0,6.22130557202866,,,0.8916404674892443,False,False,False,2066.4156991146747,1880.4581876469354,2296.618776193841,1650.2551105677694,0.848895096459462,-0.02355263955840856,62.17153337746833,34.70572815634017
401756854,2025,1,regular,2025-08-29 23:30:00+00:00,False,True,False,False,,3833.0,Memorial Stadium,2305,Kansas,fbs,Big 12,46.0,"[14, 15, 10, 7]",0.9886996150016784,1633.0,1633.0,2681,Wagner,fcs,NEC,7.0,"[0, 7, 0, 0]",0.0113003849983215,,,2.6144160037316517,,,0.9929604930835243,False,False,False,1919.0319477201333,761.5401467134435,1661.6947257357715,1018.8773686978052,0.008879871088843028,-0.05333897034712888,35.19182949327822,7.876716871556267
401752795,2025,1,regular,2025-08-29 23:30:00+00:00,False,True,False,False,,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,52.0,"[14, 17, 7, 14]",0.9946691989898682,1578.0,1578.0,2710,Western Illinois,fcs,Big South-OVC,3.0,"[0, 0, 0, 3]",0.0053308010101318,,,2.8018660135329183,,,0.9973175764340146,True,True,False,2307.9422321721895,956.7693969680166,2024.9093032984035,1239.8023258417954,0.026825282723050403,-0.005969994233387146,50.62583572125331,17.26443800146467
401752667,2025,1,regular,2025-08-30 00:00:00+00:00,False,True,False,False,,4727.0,McLane Stadium,239,Baylor,fbs,Big 12,24.0,"[3, 7, 7, 7]",0.3652919828891754,1604.0,1569.0,2,Auburn,fbs,SEC,38.0,"[7, 10, 14, 7]",0.6347080171108246,1574.0,1609.0,5.207606567811596,,,0.9357249464299965,False,False,False,1874.7812873517955,2075.497905530229,1403.34942478036,2546.929768101665,-0.054748546312035136,0.9322354740626654,24.21401298968165,72.8079495531649
